date,daily_cases,med_temp,med_hum,pm25,retail,grocery,parks,transit,work,home,infections,rt,state
2020-02-24,0,13.2,54.65855627,NaN,-7,20,28,-22,-23,6,79.2733735,1.895176121,Piemonte
2020-02-25,3,6,100,112,-13,-1,2,-26,-23,8,91.66293496,1.87789769,Piemonte
2020-02-26,0,4.35,39.01183891,139,-16,-9,-15,-31,-21,8,104.9664196,1.854922093,Piemonte
2020-02-27,0,2.35,37.24072333,34,-12,-7,-9,-27,-19,8,119.7245794,1.828868728,Piemonte
2020-02-28,9,5.75,29.79069877,25,-10,-5,21,-23,-18,7,136.3507539,1.797412655,Piemonte
2020-02-29,0,4.5,50.66834996,50,-14,-4,-10,-19,-8,4,154.8679245,1.758707782,Piemonte
2020-03-01,38,2.75,98.3213817,70,-14,-10,0,-16,-3,2,175.2280885,1.711659534,Piemonte
2020-03-02,0,2.45,100,NaN,-14,-12,-41,-29,-16,7,197.3420117,1.662167437,Piemonte
2020-03-03,1,5.2,27.41721946,NaN,-3,-2,20,-19,-14,5,220.986931,1.608309251,Piemonte
2020-03-04,4,5.1,34.2621217,25,-5,-1,27,-20,-14,5,245.8772497,1.551267176,Piemonte
2020-03-05,8,3.45,96.99636337,46,-14,-5,-23,-26,-15,7,271.6495689,1.491785885,Piemonte
2020-03-06,15,2.95,98.3213817,65,-15,-3,0,-26,-16,8,297.8215226,1.426916256,Piemonte
2020-03-07,21,6.3,24.03461562,65,-18,-3,19,-20,-8,4,323.8127817,1.362297029,Piemonte
2020-03-08,34,6,33.89865918,63,-33,-9,-2,-25,-6,4,348.88187,1.29977323,Piemonte
2020-03-09,0,5.5,80.37926423,46,-30,-4,-17,-41,-24,11,372.0486497,1.238331529,Piemonte
2020-03-10,24,8.9,38.40973087,76,-45,-10,-19,-52,-32,17,393.180595,1.179464158,Piemonte
2020-03-11,48,11.25,47.06516553,78,-52,-17,-15,-58,-38,20,411.3786077,1.124206658,Piemonte
2020-03-12,28,8.1,100,65,-70,-26,-58,-68,-48,25,426.1660838,1.076270206,Piemonte
2020-03-13,118,8,90.59561079,55,-74,-29,-50,-70,-54,29,437.271752,1.029784055,Piemonte
2020-03-14,0,5,100,55,-84,-48,-77,-76,-56,25,444.6623465,0.989190426,Piemonte
2020-03-15,54,5,81.46429087,55,-91,-66,-78,-81,-55,22,448.3612005,0.953946359,Piemonte
2020-03-16,183,7,68.42340049,57,-75,-38,-61,-75,-60,28,448.4943744,0.919871093,Piemonte
2020-03-17,207,10,56.64929703,68,-77,-41,-55,-75,-62,30,445.390928,0.893064601,Piemonte
2020-03-18,293,10.75,64.86115755,87,-79,-45,-62,-77,-63,31,439.3349584,0.867387503,Piemonte
2020-03-19,0,12.7,56.47803288,95,-79,-44,-67,-77,-64,32,430.741092,0.845165341,Piemonte
2020-03-20,514,12.05,61.14513085,93,-80,-40,-71,-78,-65,34,420.0377392,0.824995637,Piemonte
2020-03-21,124,12,63.54442708,82,-86,-54,-83,-79,-61,26,407.5710871,0.807686866,Piemonte
2020-03-22,309,8.5,90.97161663,76,-95,-84,-92,-87,-61,24,393.6790784,0.79138471,Piemonte
2020-03-23,209,3.75,62.5702776,80,-81,-48,-81,-82,-72,34,378.70027,0.777462183,Piemonte
2020-03-24,298,4.5,52.64472972,38,-82,-49,-78,-82,-73,35,362.9299003,0.764431336,Piemonte
2020-03-25,317,1.65,70.84221066,50,-83,-51,-81,-83,-74,36,346.6315243,0.754991744,Piemonte
2020-03-26,295,0.45,83.47775708,55,-84,-51,-82,-83,-75,37,330.042356,0.746652862,Piemonte
2020-03-27,253,3.7,91.93091745,50,-84,-48,-81,-83,-75,39,313.4292135,0.738613061,Piemonte
2020-03-28,297,8.05,63.91524788,46,-87,-56,-83,-80,-64,27,297.0236357,0.7306145,Piemonte
2020-03-29,275,8.8,64.87635289,65,-95,-84,-90,-86,-61,23,280.940666,0.723548374,Piemonte
2020-03-30,217,5,100,72,-83,-50,-80,-81,-74,35,265.2266862,0.718434123,Piemonte
2020-03-31,305,1.35,87.26608924,50,-91,-47,-77,-81,-74,36,249.9431999,0.713508417,Piemonte
2020-04-01,256,1.7,53.55289792,30,-90,-46,-76,-80,-74,36,235.1889973,0.710542505,Piemonte
2020-04-02,280,4.15,58.99853277,57,-90,-44,-75,-79,-73,36,221.0323284,0.70713527,Piemonte
2020-04-03,304,6.45,60.00403802,76,-85,-42,-75,-80,-72,38,207.5252267,0.704603392,Piemonte
2020-04-04,477,8.25,44.19559664,89,-89,-54,-83,-79,-63,27,194.6875819,0.701859979,Piemonte
2020-04-05,213,8.4,41.53131364,80,-96,-84,-89,-86,-61,24,182.5151389,0.69911924,Piemonte
2020-04-06,195,10.9,44.63381845,74,-83,-44,-76,-79,-71,33,170.9932669,0.695963072,Piemonte
2020-04-07,195,12.2,35.31590241,68,-82,-41,-73,-79,-71,34,160.0942515,0.693286297,Piemonte
