date,daily_cases,med_temp,med_hum,pm25,pm10,o3,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,7.5,90.40716983,142,55,35,-11,27,21,-22,-19,5,2.022941147,Veneto
2020-02-25,0,9,93.48238181,137,64,22,-13,1,6,-26,-19,6,2.005802627,Veneto
2020-02-26,0,9.5,40.56793437,154,46,32,-15,-6,-4,-28,-18,7,1.98140477,Veneto
2020-02-27,0,8,34.4411764,102,20,31,-10,-6,7,-28,-15,6,1.951566889,Veneto
2020-02-28,0,7.55,37.12415487,50,26,36,-13,-5,19,-25,-15,6,1.913321441,Veneto
2020-02-29,0,8.25,48.33763576,53,29,26,-15,-4,6,-21,-12,4,1.872834094,Veneto
2020-03-01,2,7,95.94703387,59,NaN,NaN,-31,-7,-68,-38,-10,7,1.820256107,Veneto
2020-03-02,6,8.683333333,84.58486234,NaN,NaN,NaN,-20,-9,-44,-35,-13,7,1.77019377,Veneto
2020-03-03,9,7.516666667,90.39892486,NaN,10,22,-16,-4,-34,-33,-13,7,1.714902434,Veneto
2020-03-04,4,7.183333333,77.87658084,38,11,30,-12,-2,8,-25,-13,6,1.656307289,Veneto
2020-03-05,4,6.25,86.97226526,34,16,30,-16,-2,-21,-33,-14,7,1.593053826,Veneto
2020-03-06,17,6.533333333,89.45587325,42,20,24,-19,-1,-7,-31,-14,7,1.528023196,Veneto
2020-03-07,10,7.983333333,75.13200508,59,24,30,-22,-3,20,-25,-13,4,1.465757229,Veneto
2020-03-08,11,7.5,61.52291669,68,11,38,-31,-4,16,-19,-9,3,1.40928192,Veneto
2020-03-09,10,8.25,73.85731645,42,27,34,-30,-3,-25,-39,-18,9,1.350500141,Veneto
2020-03-10,23,7.933333333,78.20003096,68,36,29,-45,-1,-30,-46,-24,14,1.293024221,Veneto
2020-03-11,14,10.85,69.25567575,89,39,33,-53,-12,-38,-52,-30,17,1.238648092,Veneto
2020-03-12,40,12.5,82.16759276,95,53,25,-73,-18,-67,-64,-40,22,1.191528374,Veneto
2020-03-13,60,13,79.5965107,122,41,29,-80,-22,-75,-69,-47,27,1.143414693,Veneto
2020-03-14,65,11.25,63.53071447,95,19,29,-89,-42,-85,-79,-57,26,1.099052055,Veneto
2020-03-15,60,8.75,61.75208754,59,13,38,-93,-67,-87,-82,-57,23,1.057871254,Veneto
2020-03-16,90,9.5,58.28445108,46,27,37,-79,-35,-76,-73,-53,26,1.019452092,Veneto
2020-03-17,56,9,68.7698612,63,42,41,-81,-39,-76,-74,-56,28,0.982852372,Veneto
2020-03-18,145,11.56666667,65.62814647,93,43,45,-82,-42,-79,-75,-57,30,0.950449128,Veneto
2020-03-19,60,12.25,61.54040428,107,28,45,-83,-40,-81,-77,-58,30,0.920215996,Veneto
2020-03-20,98,13.15,68.96572025,76,39,47,-84,-35,-85,-77,-59,32,0.892054163,Veneto
2020-03-21,170,9.95,93.48238181,91,51,43,-91,-53,-91,-83,-61,27,0.867850512,Veneto
2020-03-22,92,10.61666667,52.78910786,127,22,33,-97,-97,-96,-90,-65,26,0.845823406,Veneto
2020-03-23,53,5.216666667,38.38741538,68,15,36,-83,-41,-86,-79,-63,31,0.826677186,Veneto
2020-03-24,129,6.5,44.80389443,34,19,36,-83,-45,-84,-78,-63,32,0.810017346,Veneto
2020-03-25,76,5.316666667,41.91050759,53,14,35,-85,-48,-87,-80,-65,33,0.793634544,Veneto
2020-03-26,98,5.033333333,64.84195561,42,18,33,-86,-49,-88,-82,-68,35,0.77872542,Veneto
2020-03-27,243,10,66.98842941,46,39,28,-87,-44,-88,-82,-68,37,0.763478868,Veneto
2020-03-28,109,11.25,62.57573711,74,64,39,-91,-58,-90,-84,-64,28,0.750159783,Veneto
2020-03-29,122,14,54.89317287,76,69,43,-97,-96,-95,-89,-66,25,0.73948961,Veneto
2020-03-30,106,12.98333333,57.32541061,78,37,37,-85,-47,-86,-81,-67,32,0.726470757,Veneto
2020-03-31,130,5,70.40306007,59,10,35,-91,-46,-83,-78,-67,33,0.714749684,Veneto
2020-04-01,175,5,61.34278676,30,17,37,-91,-44,-85,-78,-67,34,0.70424141,Veneto
2020-04-02,118,7,55.24306987,53,22,42,-91,-42,-83,-78,-67,34,0.695928141,Veneto
2020-04-03,83,8.75,54.62591041,63,37,50,-88,-39,-86,-80,-66,36,0.685790887,Veneto
2020-04-04,59,11.25,53.34186038,93,34,55,-92,-53,-90,-83,-63,28,0.67594644,Veneto
2020-04-05,141,13,40.69580184,87,22,44,-97,-96,-95,-89,-65,26,0.667531666,Veneto
2020-04-06,67,14.86666667,42.11587996,65,23,53,-84,-41,-83,-77,-63,31,0.65861102,Veneto
2020-04-07,101,14.5,30.81244501,61,26,55,-84,-40,-83,-76,-64,32,0.651454026,Veneto
2020-04-08,64,13.75,33.2687179,63,22,47,-84,-38,-83,-77,-63,32,0.641809839,Veneto
2020-04-09,129,14,36.51240604,53,23,55,-83,-31,-83,-77,-63,32,0.633091118,Veneto
2020-04-10,208,15.75,40.64016112,55,27,59,-84,-25,-85,-78,-65,34,0.625629646,Veneto
2020-04-11,145,15.75,40.65357746,63,30,65,-90,-46,-90,-81,-62,27,0.617792738,Veneto
2020-04-12,93,16.86666667,35.70591718,65,23,59,-97,-97,-95,-90,-67,26,0.610204196,Veneto
2020-04-13,52,15.51666667,39.87454314,59,28,51,-96,-97,-91,-91,-91,43,0.604165249,Veneto
2020-04-14,25,12.78333333,56.35738095,65,23,51,-82,-40,-80,-75,-60,30,0.598404796,Veneto
2020-04-15,77,11,48.50694308,53,20,43,-82,-37,-80,-74,-59,30,0.591777282,Veneto
2020-04-16,81,12.25,55.25658915,50,30,47,-80,-34,-78,-74,-58,30,0.587789153,Veneto
2020-04-17,75,15,55.37092805,70,43,51,-82,-30,-82,-75,-58,32,0.583011808,Veneto
2020-04-18,75,17,53.67059351,91,36,51,-88,-45,-85,-79,-56,26,0.579583213,Veneto
2020-04-19,94,18,63.87841522,74,24,60,-96,-95,-92,-85,-59,24,0.576034404,Veneto
2020-04-20,24,15.98333333,54.46767449,55,16,43,-80,-40,-82,-75,-56,28,0.574308682,Veneto
2020-04-21,72,15,39.68853165,38,20,39,-79,-36,-77,-73,-56,28,0.57173227,Veneto
2020-04-22,94,16.28333333,34.40202284,53,18,45,-79,-37,-77,-72,-55,29,0.56956188,Veneto
2020-04-23,58,16.83333333,42.11689784,42,22,59,-78,-30,-73,-72,-55,28,0.568601976,Veneto
2020-04-24,176,16.5,53.55030043,59,30,64,-78,-12,-77,-72,-55,29,0.569803249,Veneto
2020-04-25,75,17.5,52.20067331,72,22,52,-94,-94,-83,-83,-73,29,0.570487245,Veneto
2020-04-26,19,18,56.98950854,61,16,53,-93,-93,-87,-81,-55,23,0.572171695,Veneto
2020-04-27,34,17.25,62.63487118,50,22,44,-72,-18,-69,-68,-51,24,0.574689161,Veneto
2020-04-28,30,16.5,78.06946082,57,20,35,-74,-27,-65,-68,-51,26,0.576981682,Veneto
2020-04-29,71,15.83333333,70.00223759,46,11,34,-75,-26,-67,-67,-51,26,0.578209634,Veneto
2020-04-30,39,15.06666667,89.33943801,30,11,41,-71,-8,-65,-68,-51,25,0.580920203,Veneto
2020-05-01,43,15.5,79.86101607,30,9,36,-90,-91,-64,-82,-87,42,0.585216893,Veneto
2020-05-02,62,18.5,64.90227425,21,12,44,-78,-29,-59,-66,-50,22,0.588713545,Veneto
2020-05-03,29,17.56666667,51.65570924,38,12,44,-88,-90,-66,-68,-47,20,0.593987243,Veneto
2020-05-04,21,17.75,42.4397491,38,10,48,-60,-14,-35,-52,-40,17,0.599998891,Veneto
2020-05-05,10,18.28333333,55.01314367,25,16,47,-62,-17,-33,-52,-41,18,0.606045042,Veneto
2020-05-06,29,17.03333333,58.7975136,34,19,41,-64,-19,-43,-54,-40,19,0.612858384,Veneto
2020-05-07,37,17.5,45.69369203,34,14,54,-61,-19,-27,-53,-40,18,0.619139878,Veneto
2020-05-08,20,20,44.36727901,57,19,71,-64,-14,-39,-55,-40,20,0.626736508,Veneto
2020-05-09,17,19.5,49.34849905,50,18,70,-67,-21,-36,-51,-38,14,0.636798941,Veneto
2020-05-10,10,19.75,58.21271982,42,19,59,-79,-86,-50,-53,-30,13,0.6454158,Veneto
2020-05-11,2,17,77.92177031,34,12,43,-61,-21,-57,-59,-38,19,0.655130853,Veneto
2020-05-12,11,15.51666667,77.09877308,25,14,41,-59,-19,-33,-52,-37,18,0.665806136,Veneto
2020-05-13,10,16,82.0010371,21,10,24,-61,-21,-47,-54,-37,19,0.677210254,Veneto
2020-05-14,11,19.25,71.80999843,17,22,50,-58,-18,-25,-52,-36,17,0.689807374,Veneto
2020-05-15,19,17.58333333,82.68680562,42,17,35,-62,-13,-48,-56,-37,20,0.702094375,Veneto
2020-05-16,5,16.53333333,84.46554061,38,15,37,-66,-20,-40,-53,-32,15,0.714384483,Veneto
2020-05-17,4,19.75,71.93213254,38,12,41,-74,-83,-30,-44,-24,12,0.727716887,Veneto
2020-05-18,2,21.25,58.58479523,34,18,46,-35,-11,-8,-44,-31,12,0.740807195,Veneto
2020-05-19,32,19.48333333,76.53669647,46,20,35,-40,-14,-31,-48,-32,15,0.754034283,Veneto
2020-05-20,16,19.63333333,70.49737048,46,20,53,-37,-12,-10,-42,-31,13,0.770642752,Veneto
2020-05-21,0,20.88333333,48.46721212,46,19,51,-34,-10,7,-43,-35,13,0.786828075,Veneto
2020-05-22,10,21.25,53.18536696,50,20,57,-40,-8,-9,-45,-31,14,0.802174392,Veneto
2020-05-23,6,22,62.72740261,53,24,66,-43,-13,-6,-39,-22,7,0.817589902,Veneto
2020-05-24,6,20.25,51.72074813,53,14,45,-50,-48,-10,-33,-9,6,0.833556336,Veneto
2020-05-25,2,21,47.41505488,42,13,46,-33,-13,-3,-43,-30,11,0.850517015,Veneto
2020-05-26,2,19.33333333,56.20505929,34,13,46,-33,-12,4,-41,-29,12,0.8697304,Veneto
2020-05-27,0,19.5,48.5579737,34,14,49,-32,-11,2,-40,-29,11,0.887432072,Veneto
2020-05-28,8,19.25,53.43746008,34,17,50,-32,-9,-2,-43,-30,11,0.906476337,Veneto
2020-05-29,6,17,62.64860058,38,11,42,-37,-7,-11,-43,-30,12,0.922295046,Veneto
2020-05-30,5,18.5,59.503078,38,17,45,-38,-10,2,-36,-19,6,0.941880155,Veneto
